City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,papatowai,-46.5619,169.4708,8.86,90,47,2.59,NZ,1721513369
1,san antonio de pale,-1.4014,5.6325,22.79,74,53,4.61,GQ,1721513370
2,meadow lakes,61.6247,-149.6011,24.05,59,0,1.54,US,1721513372
3,ust-nera,64.5667,143.2,13.1,97,100,2.87,RU,1721513373
4,wailua homesteads,22.0669,-159.378,27.85,67,40,5.14,US,1721513374
5,mount pearl,47.5166,-52.7813,18.37,76,2,1.47,CA,1721513375
6,rio san juan,19.6439,-70.0763,27.86,83,99,4.33,DO,1721513376
7,tarawa,1.419,172.984,30.05,74,40,6.17,KI,1721513377
8,cabo san lucas,22.8909,-109.9124,30.66,62,0,5.94,MX,1721512863
9,santa maria da boa vista,-8.8078,-39.8256,26.18,41,85,6.93,BR,1721513264
10,kavaratti,10.5669,72.642,27.36,86,100,6.52,IN,1721513381
11,qamdo,31.1667,97.2333,11.43,84,100,1.09,CN,1721513382
12,fisterra,42.9049,-9.2629,16.68,78,84,6.78,ES,1721513383
13,udachny,66.4167,112.4,17.48,76,100,3.61,RU,1721513384
14,yeppoon,-23.1333,150.7333,12.88,50,0,5.04,AU,1721513387
15,chonchi,-42.6128,-73.8092,7.29,91,100,0.56,CL,1721513388
16,longyearbyen,78.2186,15.6401,9.91,66,0,6.69,SJ,1721513390
17,kone,-21.0595,164.8658,21.27,63,5,0.66,NC,1721513391
18,port elizabeth,-33.918,25.5701,11.29,82,30,1.79,ZA,1721513393
19,keflavik,64.0049,-22.5624,10.24,100,40,4.12,IS,1721513394
20,kodiak,57.79,-152.4072,14.73,67,100,5.14,US,1721513395
21,igrim,63.1906,64.4162,9.71,68,100,4.01,RU,1721513396
22,riohacha,11.5444,-72.9072,31.27,66,97,2.68,CO,1721513399
23,anadyr,64.75,177.4833,9.28,87,40,10.0,RU,1721513400
24,qaqortoq,60.7167,-46.0333,5.71,88,100,2.11,GL,1721513401
25,puerto natales,-51.7236,-72.4875,5.64,81,97,8.6,CL,1721513402
26,port-aux-francais,-49.35,70.2167,1.28,74,19,4.58,TF,1721513403
27,tindouf,27.6711,-8.1474,41.25,11,40,4.12,DZ,1721513405
28,talnakh,69.4865,88.3972,8.26,67,0,7.04,RU,1721513406
29,edinburgh of the seven seas,-37.0676,-12.3116,13.29,83,65,8.97,SH,1721513407
30,urucara,-2.5364,-57.76,29.61,48,97,1.02,BR,1721513408
31,east london,-33.0153,27.9116,14.1,68,54,5.81,ZA,1721513409
32,radviliskis,55.8167,23.5333,16.03,94,0,2.06,LT,1721513410
33,djambala,-2.5447,14.7533,22.43,47,100,1.98,CG,1721513412
34,nemuro,43.3236,145.575,16.75,99,100,1.82,JP,1721513413
35,ilulissat,69.2167,-51.1,11.01,71,97,2.06,GL,1721513414
36,prince rupert,54.3161,-130.3201,17.96,84,99,2.17,CA,1721513417
37,piatykhatky,48.4133,33.7106,21.08,40,85,3.65,UA,1721513419
38,iqaluit,63.7506,-68.5145,6.96,60,47,3.15,CA,1721513420
39,tiksi,71.6872,128.8694,7.06,62,97,2.1,RU,1721513421
40,punta arenas,-53.15,-70.9167,5.06,81,40,16.46,CL,1721513283
41,albany,42.6001,-73.9662,27.83,69,99,0.45,US,1721513424
42,blackmans bay,-43.0167,147.3167,4.74,92,0,0.45,AU,1721513425
43,sredets,42.3475,27.179,24.86,88,4,1.24,BG,1721513427
44,kabalo,-6.05,26.9167,27.25,27,1,1.29,CD,1721513428
45,whitehorse,60.7161,-135.0538,22.83,33,80,2.6,CA,1721513429
46,grytviken,-54.2811,-36.5092,-0.49,80,26,2.93,GS,1721513430
47,utrik,11.2278,169.8474,27.65,81,9,7.63,MH,1721513431
48,waitangi,-43.9535,-176.5597,11.01,99,100,4.02,NZ,1721513432
49,constantia,44.1833,28.65,23.38,74,0,3.56,RO,1721513434
50,arraial do cabo,-22.9661,-42.0278,21.0,71,0,2.62,BR,1721513435
51,vila velha,-20.3297,-40.2925,22.19,86,40,3.09,BR,1721513436
52,huilong,31.8111,121.655,26.32,93,100,4.17,CN,1721513437
53,namtsy,62.7161,129.6658,19.31,47,100,1.71,RU,1721513438
54,thompson,55.7435,-97.8558,29.8,25,13,2.22,CA,1721513439
55,invercargill,-46.4,168.35,5.5,92,76,1.5,NZ,1721513441
56,tucumcari,35.1717,-103.725,32.19,25,0,4.03,US,1721513442
57,lagoa,39.05,-27.9833,22.31,89,9,3.94,PT,1721513443
58,isafjordur,66.0755,-23.124,5.36,75,100,4.05,IS,1721513444
59,inirida,3.8653,-67.9239,24.39,97,84,0.57,CO,1721513445
60,vorgashor,67.5833,63.95,3.75,65,4,2.75,RU,1721513446
61,hithadhoo,-0.6,73.0833,28.52,75,74,3.01,MV,1721513448
62,mizan teferi,6.9833,35.5833,16.56,98,99,1.18,ET,1721513449
